,Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
1964,2014-09-23,100.6,102.94,100.54,102.64,102.64,0.9072,0.078,0.818,0.104
1965,2014-09-24,102.16,102.85,101.2,101.75,101.75,0.0,0.0,0.0,0.0
1966,2014-09-25,100.51,100.71,97.72,97.87,97.87,-0.8834,0.082,0.863,0.054
1967,2014-09-26,98.53,100.75,98.4,100.75,100.75,-0.8942,0.084,0.856,0.06
1968,2014-09-29,98.65,100.44,98.63,100.11,100.11,-0.8481,0.106,0.859,0.034
1969,2014-09-30,100.81,101.54,100.53,100.75,100.75,0.5267,0.04,0.899,0.061
1970,2014-10-01,100.59,100.69,98.7,99.18,99.18,0.9756,0.061,0.808,0.131
1971,2014-10-02,99.27,100.22,98.04,99.9,99.9,0.704,0.045,0.891,0.065
1972,2014-10-03,99.44,100.21,99.04,99.62,99.62,0.9841,0.03,0.831,0.139
1973,2014-10-06,99.95,100.65,99.42,99.62,99.62,0.0,0.0,0.0,0.0
1974,2014-10-07,99.43,100.12,98.73,98.75,98.75,0.8945,0.07,0.823,0.107
1975,2014-10-08,98.76,101.11,98.31,100.8,100.8,0.9593,0.053,0.839,0.108
1976,2014-10-09,101.54,102.38,100.61,101.02,101.02,0.9935,0.016,0.839,0.145
1977,2014-10-10,100.69,102.03,100.3,100.73,100.73,-0.6124,0.065,0.887,0.048
1978,2014-10-13,101.33,101.78,99.81,99.81,99.81,0.9862,0.031,0.822,0.147
1979,2014-10-14,100.39,100.52,98.57,98.75,98.75,0.8022,0.066,0.846,0.088
1980,2014-10-15,97.97,99.15,95.18,97.54,97.54,0.9768,0.032,0.859,0.109
1981,2014-10-16,95.55,97.72,95.41,96.26,96.26,0.3716,0.048,0.903,0.049
1982,2014-10-17,97.5,99.0,96.81,97.67,97.67,0.9733,0.015,0.89,0.095
1983,2014-10-20,98.32,99.96,98.22,99.76,99.76,0.9306,0.061,0.841,0.098
1984,2014-10-21,103.02,103.02,101.27,102.47,102.47,0.9856,0.038,0.851,0.111
1985,2014-10-22,102.84,104.11,102.6,102.99,102.99,0.9941,0.041,0.789,0.17
1986,2014-10-23,104.08,105.05,103.63,104.83,104.83,0.9863,0.082,0.755,0.163
1987,2014-10-24,105.18,105.49,104.53,105.22,105.22,-0.802,0.102,0.83,0.068
1988,2014-10-27,104.85,105.48,104.7,105.11,105.11,0.9834,0.038,0.843,0.119
1989,2014-10-28,105.4,106.74,105.35,106.74,106.74,0.9325,0.017,0.855,0.128
1990,2014-10-29,106.65,107.37,106.36,107.34,107.34,0.0,0.0,0.0,0.0
1991,2014-10-30,106.96,107.35,105.9,106.98,106.98,0.8201,0.046,0.853,0.101
1992,2014-10-31,108.01,108.04,107.21,108.0,108.0,0.9855,0.024,0.849,0.128
1993,2014-11-03,108.22,110.3,108.01,109.4,109.4,0.9413,0.028,0.883,0.09
1994,2014-11-04,109.36,109.49,107.72,108.6,108.6,0.296,0.07,0.86,0.07
1995,2014-11-05,109.1,109.3,108.13,108.86,108.86,0.3065,0.075,0.854,0.072
1996,2014-11-06,108.6,108.79,107.8,108.7,108.7,0.933,0.02,0.912,0.068
1997,2014-11-07,108.75,109.32,108.55,109.01,109.01,0.9921,0.015,0.851,0.134
1998,2014-11-10,109.02,109.33,108.67,108.83,108.83,0.9146,0.034,0.881,0.085
1999,2014-11-11,108.7,109.75,108.4,109.7,109.7,0.8136,0.079,0.81,0.11
2000,2014-11-12,109.38,111.43,109.37,111.25,111.25,-0.5023,0.047,0.919,0.034
2001,2014-11-13,111.8,113.45,111.6,112.82,112.82,0.9667,0.044,0.837,0.119
2002,2014-11-14,113.15,114.19,111.21,114.18,114.18,-0.9131,0.112,0.809,0.079
2003,2014-11-17,114.27,117.28,113.3,113.99,113.99,0.9901,0.023,0.858,0.119
2004,2014-11-18,113.94,115.69,113.89,115.47,115.47,0.9615,0.056,0.821,0.123
2005,2014-11-19,115.44,115.74,113.8,114.67,114.67,0.9062,0.009,0.94,0.051
2006,2014-11-20,114.91,116.86,114.85,116.31,116.31,0.9769,0.015,0.888,0.097
2007,2014-11-21,117.51,117.57,116.03,116.47,116.47,-0.2111,0.066,0.871,0.063
2008,2014-11-24,116.85,118.77,116.62,118.63,118.63,0.8911,0.029,0.885,0.086
2009,2014-11-25,119.07,119.75,117.45,117.6,117.6,-0.9497,0.131,0.782,0.086
2010,2014-11-26,117.94,119.1,117.83,119.0,119.0,0.97,0.045,0.833,0.122
2011,2014-11-28,119.27,119.4,118.05,118.93,118.93,0.0,0.0,0.0,0.0
2012,2014-12-01,118.81,119.25,111.27,115.07,115.07,0.7783,0.068,0.845,0.086
2013,2014-12-02,113.5,115.75,112.75,114.63,114.63,0.8215,0.056,0.834,0.109
2014,2014-12-03,115.75,116.35,115.11,115.93,115.93,0.8696,0.054,0.847,0.099
2015,2014-12-04,115.77,117.2,115.29,115.49,115.49,0.7227,0.038,0.895,0.067
2016,2014-12-05,115.99,116.08,114.64,115.0,115.0,-0.3008,0.072,0.86,0.068
